league_key,league_name,season,top5_avg,top10_avg,whole_avg,source_system,source_url,as_of_date,confidence,note
CZECH,Czech Liga,2023-24,78.7259,74.6986,48.4103,js_bundle_wayback,https://web.archive.org/web/20240628010648/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js,2024-06-27,high,Extracted from Jun 27 2024 Wayback bundle.js (end of 2023-24 European season); n_clubs=178
CZECH,Czech Liga,2024-25,82.3663,78.4344,53.5293,js_bundle_wayback,https://web.archive.org/web/20250701200002/https://dataviz.theanalyst.com/opta-power-rankings/index.js,2025-07,high,Extracted from July 2025 Wayback archived JS bundle (Fm embed); n_clubs=160
DANISH,Danish Superliga,2022-23,78.9565,76.7021,75.999,js_bundle_wayback,https://web.archive.org/web/20230810142522/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js,2023-08-10,high,Extracted from Aug 10 2023 Wayback bundle.js (day before 2023-24 EPL start; reflects end of 2022-23 European season); n_clubs=12
DANISH,Danish Superliga,2023-24,80.7278,77.3214,76.4787,js_bundle_wayback,https://web.archive.org/web/20240628010648/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js,2024-06-27,high,Extracted from Jun 27 2024 Wayback bundle.js (end of 2023-24 European season); n_clubs=12
DANISH,Danish Superliga,2024-25,81.4995,78.7204,77.8461,js_bundle_wayback,https://web.archive.org/web/20250701200002/https://dataviz.theanalyst.com/opta-power-rankings/index.js,2025-07,high,Extracted from July 2025 Wayback archived JS bundle (Fm embed); n_clubs=12
ECUADORIAN,Liga Pro (Ecuador),2022-23,75.6461,73.8869,60.7792,js_bundle_wayback,https://web.archive.org/web/20230810142522/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js,2023-08-10,high,Extracted from Aug 10 2023 Wayback bundle.js (day before 2023-24 EPL start; reflects end of 2022-23 European season); n_clubs=90
ECUADORIAN,Liga Pro (Ecuador),2023-24,76.0535,73.3147,58.5785,js_bundle_wayback,https://web.archive.org/web/20240628010648/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js,2024-06-27,high,Extracted from Jun 27 2024 Wayback bundle.js (end of 2023-24 European season); n_clubs=90
ECUADORIAN,Liga Pro (Ecuador),2024-25,78.7568,76.645,64.0346,js_bundle_wayback,https://web.archive.org/web/20250701200002/https://dataviz.theanalyst.com/opta-power-rankings/index.js,2025-07,high,Extracted from July 2025 Wayback archived JS bundle (Fm embed); n_clubs=90
EGYPTIAN,Egyptian Premier League,2022-23,73.9687,71.0998,61.9152,js_bundle_wayback,https://web.archive.org/web/20230810142522/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js,2023-08-10,high,Extracted from Aug 10 2023 Wayback bundle.js (day before 2023-24 EPL start; reflects end of 2022-23 European season); n_clubs=66
EGYPTIAN,Egyptian Premier League,2023-24,74.5201,71.8668,63.7858,js_bundle_wayback,https://web.archive.org/web/20240628010648/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js,2024-06-27,high,Extracted from Jun 27 2024 Wayback bundle.js (end of 2023-24 European season); n_clubs=49
EGYPTIAN,Egyptian Premier League,2024-25,78.8602,75.5535,68.452,js_bundle_wayback,https://web.archive.org/web/20250701200002/https://dataviz.theanalyst.com/opta-power-rankings/index.js,2025-07,high,Extracted from July 2025 Wayback archived JS bundle (Fm embed); n_clubs=39
EPL,Premier League (England),2022-23,94.1355,91.1877,87.2609,js_bundle_wayback,https://web.archive.org/web/20230810142522/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js,2023-08-10,high,Extracted from Aug 10 2023 Wayback bundle.js (day before 2023-24 EPL start; reflects end of 2022-23 European season); n_clubs=20
EPL,Premier League (England),2023-24,93.4973,90.2808,86.5193,js_bundle_wayback,https://web.archive.org/web/20240628010648/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js,2024-06-27,high,Extracted from Jun 27 2024 Wayback bundle.js (end of 2023-24 European season); n_clubs=20
EPL,Premier League (England),2024-25,97.7999,95.6264,92.2486,js_bundle_wayback,https://web.archive.org/web/20250701200002/https://dataviz.theanalyst.com/opta-power-rankings/index.js,2025-07,high,Extracted from July 2025 Wayback archived JS bundle (Fm embed); n_clubs=20
EREDIVISIE,Eredivisie (Netherlands),2022-23,86.1672,81.213,77.3221,js_bundle_wayback,https://web.archive.org/web/20230810142522/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js,2023-08-10,high,Extracted from Aug 10 2023 Wayback bundle.js (day before 2023-24 EPL start; reflects end of 2022-23 European season); n_clubs=18
EREDIVISIE,Eredivisie (Netherlands),2023-24,83.7166,79.2244,75.1473,js_bundle_wayback,https://web.archive.org/web/20240628010648/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js,2024-06-27,high,Extracted from Jun 27 2024 Wayback bundle.js (end of 2023-24 European season); n_clubs=18
EREDIVISIE,Eredivisie (Netherlands),2024-25,86.2485,82.5487,79.1076,js_bundle_wayback,https://web.archive.org/web/20250701200002/https://dataviz.theanalyst.com/opta-power-rankings/index.js,2025-07,high,Extracted from July 2025 Wayback archived JS bundle (Fm embed); n_clubs=18
FINNISH,Veikkausliiga (Finland),2022-23,71.7171,69.6741,68.7854,js_bundle_wayback,https://web.archive.org/web/20230810142522/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js,2023-08-10,high,Extracted from Aug 10 2023 Wayback bundle.js (day before 2023-24 EPL start; reflects end of 2022-23 European season); n_clubs=12
FINNISH,Veikkausliiga (Finland),2023-24,69.1923,66.3036,65.2484,js_bundle_wayback,https://web.archive.org/web/20240628010648/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js,2024-06-27,high,Extracted from Jun 27 2024 Wayback bundle.js (end of 2023-24 European season); n_clubs=12
FINNISH,Veikkausliiga (Finland),2024-25,71.2987,68.1841,67.1272,js_bundle_wayback,https://web.archive.org/web/20250701200002/https://dataviz.theanalyst.com/opta-power-rankings/index.js,2025-07,high,Extracted from July 2025 Wayback archived JS bundle (Fm embed); n_clubs=12
GREEK,Super League 1 (Greece),2022-23,75.1634,69.5043,66.8637,js_bundle_wayback,https://web.archive.org/web/20230810142522/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js,2023-08-10,high,Extracted from Aug 10 2023 Wayback bundle.js (day before 2023-24 EPL start; reflects end of 2022-23 European season); n_clubs=14
GREEK,Super League 1 (Greece),2023-24,80.4642,73.8885,71.3169,js_bundle_wayback,https://web.archive.org/web/20240628010648/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js,2024-06-27,high,Extracted from Jun 27 2024 Wayback bundle.js (end of 2023-24 European season); n_clubs=14
GREEK,Super League 1 (Greece),2024-25,81.7935,76.7695,74.2858,js_bundle_wayback,https://web.archive.org/web/20250701200002/https://dataviz.theanalyst.com/opta-power-rankings/index.js,2025-07,high,Extracted from July 2025 Wayback archived JS bundle (Fm embed); n_clubs=14
HUNGARIAN,NB I (Hungary),2022-23,76.0023,74.3424,73.7914,js_bundle_wayback,https://web.archive.org/web/20230810142522/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js,2023-08-10,high,Extracted from Aug 10 2023 Wayback bundle.js (day before 2023-24 EPL start; reflects end of 2022-23 European season); n_clubs=12
HUNGARIAN,NB I (Hungary),2023-24,74.6458,72.5717,71.8803,js_bundle_wayback,https://web.archive.org/web/20240628010648/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js,2024-06-27,high,Extracted from Jun 27 2024 Wayback bundle.js (end of 2023-24 European season); n_clubs=12
HUNGARIAN,NB I (Hungary),2024-25,78.1533,75.6897,75.117,js_bundle_wayback,https://web.archive.org/web/20250701200002/https://dataviz.theanalyst.com/opta-power-rankings/index.js,2025-07,high,Extracted from July 2025 Wayback archived JS bundle (Fm embed); n_clubs=12
IRANIAN,Persian Gulf Pro League,2022-23,76.3267,73.4617,65.899,js_bundle_wayback,https://web.archive.org/web/20230810142522/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js,2023-08-10,high,Extracted from Aug 10 2023 Wayback bundle.js (day before 2023-24 EPL start; reflects end of 2022-23 European season); n_clubs=34
IRANIAN,Persian Gulf Pro League,2023-24,73.9204,70.7716,64.316,js_bundle_wayback,https://web.archive.org/web/20240628010648/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js,2024-06-27,high,Extracted from Jun 27 2024 Wayback bundle.js (end of 2023-24 European season); n_clubs=34
IRANIAN,Persian Gulf Pro League,2024-25,75.9817,73.3038,66.8614,js_bundle_wayback,https://web.archive.org/web/20250701200002/https://dataviz.theanalyst.com/opta-power-rankings/index.js,2025-07,high,Extracted from July 2025 Wayback archived JS bundle (Fm embed); n_clubs=34
IRAQI,Iraqi League,2022-23,69.9053,67.628,64.8695,js_bundle_wayback,https://web.archive.org/web/20230810142522/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js,2023-08-10,high,Extracted from Aug 10 2023 Wayback bundle.js (day before 2023-24 EPL start; reflects end of 2022-23 European season); n_clubs=20
IRAQI,Iraqi League,2023-24,71.5924,68.753,64.4957,js_bundle_wayback,https://web.archive.org/web/20240628010648/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js,2024-06-27,high,Extracted from Jun 27 2024 Wayback bundle.js (end of 2023-24 European season); n_clubs=22
IRAQI,Iraqi League,2024-25,73.69,71.2007,67.5682,js_bundle_wayback,https://web.archive.org/web/20250701200002/https://dataviz.theanalyst.com/opta-power-rankings/index.js,2025-07,high,Extracted from July 2025 Wayback archived JS bundle (Fm embed); n_clubs=22
ISRAELI,Israeli Ligat Ha-Al,2022-23,78.8648,75.519,55.4027,js_bundle_wayback,https://web.archive.org/web/20230810142522/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js,2023-08-10,high,Extracted from Aug 10 2023 Wayback bundle.js (day before 2023-24 EPL start; reflects end of 2022-23 European season); n_clubs=127
ISRAELI,Israeli Ligat Ha-Al,2023-24,76.9289,73.6265,52.8427,js_bundle_wayback,https://web.archive.org/web/20240628010648/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js,2024-06-27,high,Extracted from Jun 27 2024 Wayback bundle.js (end of 2023-24 European season); n_clubs=126
ISRAELI,Israeli Ligat Ha-Al,2024-25,78.1867,74.8316,54.9991,js_bundle_wayback,https://web.archive.org/web/20250701200002/https://dataviz.theanalyst.com/opta-power-rankings/index.js,2025-07,high,Extracted from July 2025 Wayback archived JS bundle (Fm embed); n_clubs=122
